input,actual_output,expected_output,metric_name,score,threshold,success,reason,evaluation_model,evaluation_cost,run_id
Jakie wydarzenia jazzowe odbywają się latem 2025 w Warszawie?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Jazz na Starówce - koncert inauguracyjny

	Date:  Saturday, July 05, 2025 at 07:00 PM

	End Date: Saturday, July 05, 2025 at 09:00 PM

	Price: Wstęp wolny

	Location:  Rynek Starego Miasta

	Brief Summary: Koncert inauguracyjny festiwalu Jazz na Starówce z udziałem gwiazd polskiego jazzu, poświęcony pamięci Jana Ptaszyna Wróblewskiego i Jarosława Śmietany. Wstęp wolny.

	More details can be found here: https://kultura.um.warszawa.pl/-/jazz-na-starowce-2025-inauguracja-cyklu

Why this is a good match:
Wszystkie kryteria użytkownika (temat, lokalizacja, data, typ wydarzenia) są spełnione przez to wydarzenie, co czyni je idealnym dopasowaniem.","Title: Warsaw Summer Jazz Days 2025
Date: 03.07.2025 19:00 - 06.07.2025 22:00
Location: Klub Stodoła, Batorego 10, Warszawa",Factual Correctness [GEval],0.1437823499114202,0.5,False,"The actual output's title does not match or include the expected title 'Warsaw Summer Jazz Days 2025'. The date in the actual output is July 5, 2025, which does not match the expected date range from July 3 to July 6, 2025. The location 'Rynek Starego Miasta' does not correspond to the expected 'Klub Stodoła, Batorego 10, Warszawa'. Only the presence of location, title, and date fields is met, but none align with the expected details.",gpt-4.1-mini,0,run_20250717_2103
Jakie wydarzenia jazzowe odbywają się latem 2025 w Warszawie?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Jazz na Starówce - koncert inauguracyjny

	Date:  Saturday, July 05, 2025 at 07:00 PM

	End Date: Saturday, July 05, 2025 at 09:00 PM

	Price: Wstęp wolny

	Location:  Rynek Starego Miasta

	Brief Summary: Koncert inauguracyjny festiwalu Jazz na Starówce z udziałem gwiazd polskiego jazzu, poświęcony pamięci Jana Ptaszyna Wróblewskiego i Jarosława Śmietany. Wstęp wolny.

	More details can be found here: https://kultura.um.warszawa.pl/-/jazz-na-starowce-2025-inauguracja-cyklu

Why this is a good match:
Wszystkie kryteria użytkownika (temat, lokalizacja, data, typ wydarzenia) są spełnione przez to wydarzenie, co czyni je idealnym dopasowaniem.","Title: Warsaw Summer Jazz Days 2025
Date: 03.07.2025 19:00 - 06.07.2025 22:00
Location: Klub Stodoła, Batorego 10, Warszawa",Answer Relevancy,1.0,0.7,True,The score is 1.00 because the response fully addresses the query about jazz events in Warsaw during summer 2025 without any irrelevant information. It is as relevant and focused as possible.,gpt-4.1-mini,0,run_20250717_2103
Jakie wydarzenia jazzowe odbywają się latem 2025 w Warszawie?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Jazz na Starówce - koncert inauguracyjny

	Date:  Saturday, July 05, 2025 at 07:00 PM

	End Date: Saturday, July 05, 2025 at 09:00 PM

	Price: Wstęp wolny

	Location:  Rynek Starego Miasta

	Brief Summary: Koncert inauguracyjny festiwalu Jazz na Starówce z udziałem gwiazd polskiego jazzu, poświęcony pamięci Jana Ptaszyna Wróblewskiego i Jarosława Śmietany. Wstęp wolny.

	More details can be found here: https://kultura.um.warszawa.pl/-/jazz-na-starowce-2025-inauguracja-cyklu

Why this is a good match:
Wszystkie kryteria użytkownika (temat, lokalizacja, data, typ wydarzenia) są spełnione przez to wydarzenie, co czyni je idealnym dopasowaniem.","Title: Warsaw Summer Jazz Days 2025
Date: 03.07.2025 19:00 - 06.07.2025 22:00
Location: Klub Stodoła, Batorego 10, Warszawa",Faithfulness,1.0,0.6,True,"The score is 1.00 because there are no contradictions; the actual output fully aligns with the retrieval context, demonstrating complete faithfulness.",gpt-4.1-mini,0,run_20250717_2103
Jakie są wydarzenia teatralne z elementami przyrodniczymi w Warszawie latem 2025?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Teatr Baza - Bajkowa Wola: A niech to gęś kopnie

	Date:  Saturday, July 05, 2025 at 10:00 AM

	End Date: Saturday, July 05, 2025 at 11:30 AM

	Price: Wstęp wolny

	Location:  Park im. Edwarda Szymańskiego, od strony przedszkola nr 350 „Jaśminowy Gaj” (ul. Wieluńska 12)

	Brief Summary: Rodzinne spektakle teatralne w plenerze w Parku im. Edwarda Szymańskiego w Warszawie, skierowane do dzieci i ich rodzin. Spektakle odbywają się w soboty o godz. 10:00 w okresie od 5 lipca do 16 sierpnia 2025.

	More details can be found here: https://wola.um.warszawa.pl/-/teatr-baza-bajkowa-wola-a-niech-to-ges-kopnie

Why this is a good match:
Wydarzenie spełnia wszystkie kluczowe kryteria użytkownika: jest to wydarzenie teatralne, odbywa się w Warszawie, w okresie letnim 2025 roku, oraz zawiera elementy przyrodnicze dzięki lokalizacji w parku. Dlatego jest to silne dopasowanie do wymagań użytkownika.","Title: Latający Teatr Sztuki Ciała – Przyrodniczy spacer teatralny
Date: 19.07.2025 18:00 - 19:00
Location: Park Moczydło, Warszawa",Factual Correctness [GEval],0.15621765008857982,0.5,False,"The actual event title does not contain the expected title, failing the title comparison. The event dates differ significantly, with actual on July 5 and expected on July 19, violating the exact date match requirement. The location in the actual output is Park im. Edwarda Szymańskiego, not Park Moczydło, so key location elements are missing. Overall, key expected details are not present in the actual output.",gpt-4.1-mini,0,run_20250717_2103
Jakie są wydarzenia teatralne z elementami przyrodniczymi w Warszawie latem 2025?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Teatr Baza - Bajkowa Wola: A niech to gęś kopnie

	Date:  Saturday, July 05, 2025 at 10:00 AM

	End Date: Saturday, July 05, 2025 at 11:30 AM

	Price: Wstęp wolny

	Location:  Park im. Edwarda Szymańskiego, od strony przedszkola nr 350 „Jaśminowy Gaj” (ul. Wieluńska 12)

	Brief Summary: Rodzinne spektakle teatralne w plenerze w Parku im. Edwarda Szymańskiego w Warszawie, skierowane do dzieci i ich rodzin. Spektakle odbywają się w soboty o godz. 10:00 w okresie od 5 lipca do 16 sierpnia 2025.

	More details can be found here: https://wola.um.warszawa.pl/-/teatr-baza-bajkowa-wola-a-niech-to-ges-kopnie

Why this is a good match:
Wydarzenie spełnia wszystkie kluczowe kryteria użytkownika: jest to wydarzenie teatralne, odbywa się w Warszawie, w okresie letnim 2025 roku, oraz zawiera elementy przyrodnicze dzięki lokalizacji w parku. Dlatego jest to silne dopasowanie do wymagań użytkownika.","Title: Latający Teatr Sztuki Ciała – Przyrodniczy spacer teatralny
Date: 19.07.2025 18:00 - 19:00
Location: Park Moczydło, Warszawa",Answer Relevancy,1.0,0.7,True,"The score is 1.00 because the response fully addresses the query about theatrical events with natural elements in Warsaw during summer 2025, with no irrelevant information included.",gpt-4.1-mini,0,run_20250717_2103
Jakie są wydarzenia teatralne z elementami przyrodniczymi w Warszawie latem 2025?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Teatr Baza - Bajkowa Wola: A niech to gęś kopnie

	Date:  Saturday, July 05, 2025 at 10:00 AM

	End Date: Saturday, July 05, 2025 at 11:30 AM

	Price: Wstęp wolny

	Location:  Park im. Edwarda Szymańskiego, od strony przedszkola nr 350 „Jaśminowy Gaj” (ul. Wieluńska 12)

	Brief Summary: Rodzinne spektakle teatralne w plenerze w Parku im. Edwarda Szymańskiego w Warszawie, skierowane do dzieci i ich rodzin. Spektakle odbywają się w soboty o godz. 10:00 w okresie od 5 lipca do 16 sierpnia 2025.

	More details can be found here: https://wola.um.warszawa.pl/-/teatr-baza-bajkowa-wola-a-niech-to-ges-kopnie

Why this is a good match:
Wydarzenie spełnia wszystkie kluczowe kryteria użytkownika: jest to wydarzenie teatralne, odbywa się w Warszawie, w okresie letnim 2025 roku, oraz zawiera elementy przyrodnicze dzięki lokalizacji w parku. Dlatego jest to silne dopasowanie do wymagań użytkownika.","Title: Latający Teatr Sztuki Ciała – Przyrodniczy spacer teatralny
Date: 19.07.2025 18:00 - 19:00
Location: Park Moczydło, Warszawa",Faithfulness,1.0,0.6,True,"The score is 1.00 because there are no contradictions; the actual output fully aligns with the retrieval context, demonstrating complete faithfulness.",gpt-4.1-mini,0,run_20250717_2103
Koncert plenerowy w Warszawie latem 2025 roku z polskim zespołem muzycznym,"I'm sorry, but my search for events matching your request came up empty.
I was looking for: An event related to 'koncert plenerowy, polski zespół muzyczny' in Warszawa around June 2025 and 2025-08-31.
There may be no events of this type listed, or you could try searching with different keywords.","Title: Letni koncert plenerowy Pablopavo i ludziki
Date: 19.07.2025 20:00 - 19.07.2025 21:20
Location: WCK Filia Radość, Powojowa 2, 04-860 Warszawa",Factual Correctness [GEval],0.0,0.5,False,"The actual output does not provide any event details matching the expected output; it only states that no events were found. Therefore, the title, date, and location from the expected output are completely missing in the actual output.",gpt-4.1-mini,0,run_20250717_2103
Koncert plenerowy w Warszawie latem 2025 roku z polskim zespołem muzycznym,"I'm sorry, but my search for events matching your request came up empty.
I was looking for: An event related to 'koncert plenerowy, polski zespół muzyczny' in Warszawa around June 2025 and 2025-08-31.
There may be no events of this type listed, or you could try searching with different keywords.","Title: Letni koncert plenerowy Pablopavo i ludziki
Date: 19.07.2025 20:00 - 19.07.2025 21:20
Location: WCK Filia Radość, Powojowa 2, 04-860 Warszawa",Answer Relevancy,1.0,0.7,True,"The score is 1.00 because the response fully addresses the request about an outdoor concert in Warsaw in summer 2025 with a Polish music band, with no irrelevant information included.",gpt-4.1-mini,0,run_20250717_2103
Koncert plenerowy w Warszawie latem 2025 roku z polskim zespołem muzycznym,"I'm sorry, but my search for events matching your request came up empty.
I was looking for: An event related to 'koncert plenerowy, polski zespół muzyczny' in Warszawa around June 2025 and 2025-08-31.
There may be no events of this type listed, or you could try searching with different keywords.","Title: Letni koncert plenerowy Pablopavo i ludziki
Date: 19.07.2025 20:00 - 19.07.2025 21:20
Location: WCK Filia Radość, Powojowa 2, 04-860 Warszawa",Faithfulness,1.0,0.6,True,"The score is 1.00 because there are no contradictions; the actual output fully aligns with the retrieval context, demonstrating complete faithfulness.",gpt-4.1-mini,0,run_20250717_2103
Jakie są wydarzenia biblioteczne z leżakowaniem z książką w Warszawie latem 2025?,"After reviewing the options, I found an event that's a great match for your request!


	Title:  Leżakowanie z książką

	Date:  Tuesday, July 01, 2025 at 10:00 AM

	End Date: Friday, August 29, 2025 at 03:00 PM

	Price: Wstęp wolny

	Location:  Wypożyczalnia nr 30, ul. ks. J. Chrościckiego 2

	Brief Summary: Wypożyczalnia nr 30 w Warszawie oferuje w lipcu i sierpniu bezpłatne leżaki do korzystania wraz z książkami i czasopismami, zapewniając relaks przy kawie w wakacyjnej atmosferze.

	More details can be found here: https://wlochy.um.warszawa.pl/-/artykul-178

Why this is a good match:
Wydarzenie spełnia wszystkie kryteria użytkownika: temat, lokalizacja, data oraz typ wydarzenia. Jest to idealne dopasowanie.","Title: Leżakowanie z książką
Date: od 01.07.2025 do 29.08.2025, różne godziny (10:00-15:00 lub 14:00-20:00)
Location: Wypożyczalnia nr 30, ul. ks. J. Chrościckiego 2, Warszawa",Factual Correctness [GEval],0.8562176500885798,0.5,True,"The Actual Output's title matches the Expected Output's title exactly. The date in the Actual Output specifies start and end dates with times that fall within the Expected Output's broader time range, showing strong alignment. The location in the Actual Output includes the key elements from the Expected Output, though it omits 'Warszawa' explicitly, which is a minor acceptable deviation. All three fields include the corresponding information, with only slight differences in date/time detail and location naming.",gpt-4.1-mini,0,run_20250717_2103
